,puntoycoma,asignar,coma,id,real,var,mientras,si,sino,leer,escribir,cadena,mas,menos,por,dividido,potencia,raiz,parentesisAbre,parentesisCierra,corcheteAbre,corcheteCierra,llaveAbre,llaveCierra,opOr,opAnd,opNeg,opRel,peso
prog,,,,"sent,puntoycoma,G",,"sent,puntoycoma,G","sent,puntoycoma,G","sent,puntoycoma,G",,"sent,puntoycoma,G","sent,puntoycoma,G",,,,,,,,,,,,,,,,,,
G,,,,"sent,puntoycoma,G",,"sent,puntoycoma,G","sent,puntoycoma,G","sent,puntoycoma,G",,"sent,puntoycoma,G","sent,puntoycoma,G",,,,,,,,,,,epsilon,,,,,,,epsilon
sent,,,,asig,,"var,variable",ciclo,condIf,,lect,escr,,,,,,,,,,,,,,,,,,
variable,,,,"id,H",,,,,,,,,,,,,,,,,,,,,,,,,
H,epsilon,,"coma,id,H",,,,,,,,,,,,,,,,,,,,,,,,,,
asig,,,,"id,asignar,expArit",,,,,,,,,,,,,,,,,,,,,,,,,
expArit,,,,"A,X","A,X",,,,,,,,,,,,,,"A,X",,,,,,,,,,
X,epsilon,,,,,,,,,,,,"mas,A,X","menos,A,X",,,,,,epsilon,epsilon,,,,epsilon,epsilon,,epsilon,
A,,,,"B,Y","B,Y",,,,,,,,,,,,,,"B,Y",,,,,,,,,,
Y,epsilon,,,,,,,,,,,,epsilon,epsilon,"por,B,Y","dividido,B,Y",,,,epsilon,epsilon,,,,epsilon,epsilon,,epsilon,
B,,,,"C,Z","C,Z",,,,,,,,,,,,,,"C,Z",,,,,,,,,,
Z,epsilon,,,,,,,,,,,,epsilon,epsilon,epsilon,epsilon,"potencia,C,Z","raiz,C,Z",,epsilon,epsilon,,,,epsilon,epsilon,,epsilon,
C,,,,id,real,,,,,,,,,,,,,,"parentesisAbre,expArit,parentesisCierra",,,,,,,,,,
ciclo,,,,,,,"mientras,cond,bloque",,,,,,,,,,,,,,,,,,,,,,
cond,,,,"sigCond,K","sigCond,K",,,,,,,,,,,,,,"sigCond,K",,,,"sigCond,K",,,,"sigCond,K",,
sigCond,,,,"expArit,opRel,expArit","expArit,opRel,expArit",,,,,,,,,,,,,,"expArit,opRel,expArit",,,,"llaveAbre,cond,llaveCierra",,,,"opNeg,sigCond",,
K,,,,,,,,,,,,,,,,,,,,,epsilon,,,epsilon,"opOr,sigCond,K","opAnd,sigCond,K",,,
condIf,,,,,,,,"si,cond,bloque,F",,,,,,,,,,,,,,,,,,,,,
F,epsilon,,,,,,,,"sino,bloque",,,,,,,,,,,,,,,,,,,,
bloque,,,,,,,,,,,,,,,,,,,,,"corcheteAbre,prog,corcheteCierra",,,,,,,,
lect,,,,,,,,,,"leer,parentesisAbre,cadena,coma,id,parentesisCierra",,,,,,,,,,,,,,,,,,,
escr,,,,,,,,,,,"escribir,parentesisAbre,cadena,coma,expArit,parentesisCierra",,,,,,,,,,,,,,,,,,
